duration_s,start_row,end_row,method,distance_m,endpoint_error_m,drift_percent,sequence
15,28797,28947,learned_speed_initial_offset,111.27494444444444,11.907639795374727,10.701097048239626,S1
15,28797,28947,learned_speed_preoutage_mean_offset,111.27494444444444,7.324305768092944,6.582169781940179,S1
15,28947,29097,original_learned_speed,97.00650000000002,27.54240080444172,28.392325054962,S1
15,28947,29097,constant_speed_with_gyro,97.00650000000002,90.48850800635873,93.28087087603276,S1
15,28947,29097,learned_speed_initial_offset,97.00650000000002,19.399098532063057,19.997730597499192,S1
15,28947,29097,learned_speed_preoutage_mean_offset,97.00650000000002,28.508386211261474,29.388119570607607,S1
15,29097,29247,original_learned_speed,127.93325,13.922832250864998,10.882887952010128,S1
15,29097,29247,constant_speed_with_gyro,127.93325,39.33657840900324,30.74773634610489,S1
15,29097,29247,learned_speed_initial_offset,127.93325,27.57592430008467,21.55493141938055,S1
15,29097,29247,learned_speed_preoutage_mean_offset,127.93325,12.909930513761989,10.091145588626873,S1
15,29247,29397,original_learned_speed,171.65619444444445,31.68393317399014,18.457786086038663,S1
15,29247,29397,constant_speed_with_gyro,171.65619444444445,32.08258629526989,18.690025372578816,S1
15,29247,29397,learned_speed_initial_offset,171.65619444444445,32.77748581220951,19.09484590305173,S1
15,29247,29397,learned_speed_preoutage_mean_offset,171.65619444444445,30.941217977293558,18.025110062257326,S1
15,29397,29547,original_learned_speed,93.33525000000003,25.906932882730896,27.7568580817332,S1
15,29397,29547,constant_speed_with_gyro,93.33525000000003,36.20790817735797,38.79339068289629,S1
15,29397,29547,learned_speed_initial_offset,93.33525000000003,23.904092559984953,25.61100180262542,S1
15,29397,29547,learned_speed_preoutage_mean_offset,93.33525000000003,26.923075490139126,28.845559946685864,S1
15,29547,29697,original_learned_speed,183.07252777777776,42.07386786586144,22.9820762167728,S1
15,29547,29697,constant_speed_with_gyro,183.07252777777776,8.59493897104935,4.694827277133738,S1
15,29547,29697,learned_speed_initial_offset,183.07252777777776,5.801414177182509,3.168915755740558,S1
15,29547,29697,learned_speed_preoutage_mean_offset,183.07252777777776,42.566024231371856,23.250907576389913,S1
15,29697,29847,original_learned_speed,131.93097222222224,23.77740359749055,18.022609245568436,S1
15,29697,29847,constant_speed_with_gyro,131.93097222222224,21.83503250873738,16.55034609459167,S1
15,29697,29847,learned_speed_initial_offset,131.93097222222224,15.64602100342192,11.859247862638375,S1
