window_id,sequence,raw_start_row,raw_end_row,start_time_s,end_time_s,actual_duration_s,included,exclusion_reason,segment_index,local_bounds,calibration_raw_bounds,calibration_local_bounds,phone_span,reference_span,method,speed_profile,heading_profile,gyro_calibration_profile,predicted_east_m,predicted_north_m,truth_east_m,truth_north_m,distance_m,distance_eligible_for_drift_ratio,endpoint_error_m,drift_ratio,yaw_bias_rad_s,privileged_initial_position,privileged_initial_heading,privileged_initial_speed,reference_speed_oracle,reference_heading_oracle,pre_outage_vbox_yaw_calibration
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=reference_oracle|heading=reference_oracle|gyro=frozen_s1,reference_oracle,reference_oracle,frozen_s1,304.7112453854138,-250.2199978129985,304.0504672664265,-249.1767111173117,532.1078610298368,True,1.234939209811367,0.002320843761678838,,True,True,False,True,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=reference_oracle|heading=reference_oracle|gyro=journey_prefix,reference_oracle,reference_oracle,journey_prefix,304.7112453854138,-250.2199978129985,304.0504672664265,-249.1767111173117,532.1078610298368,True,1.234939209811367,0.002320843761678838,,True,True,False,True,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",constant_reference_initialized,,,,127.10383388421505,-618.2702122955092,304.0504672664265,-249.1767111173117,532.1078610298368,True,409.3166545320124,0.769236247966389,,True,True,True,False,False,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_raw|heading=phone_gyro|gyro=frozen_s1,learned_raw,phone_gyro,frozen_s1,515.1336154459799,-0.7344141973528515,487.1658362418857,-44.377895224322174,496.73786118156386,True,51.83579949957747,0.10435242318006205,0.0026539929190003485,True,True,False,False,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_raw|heading=phone_gyro|gyro=journey_prefix,learned_raw,phone_gyro,journey_prefix,515.3528959990836,-4.058710402649869,487.1658362418857,-44.377895224322174,496.73786118156386,True,49.194989607072934,0.09903611834631537,0.00713274829488289,True,True,False,False,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_raw|heading=reference_oracle|gyro=frozen_s1,learned_raw,reference_oracle,frozen_s1,514.6348397403071,-47.095705044549646,487.1658362418857,-44.377895224322174,496.73786118156386,True,27.603127420914,0.05556880112833741,,True,True,False,False,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_raw|heading=reference_oracle|gyro=journey_prefix,learned_raw,reference_oracle,journey_prefix,514.6348397403071,-47.095705044549646,487.1658362418857,-44.377895224322174,496.73786118156386,True,27.603127420914,0.05556880112833741,,True,True,False,False,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=phone_gyro|gyro=frozen_s1,learned_initial_offset,phone_gyro,frozen_s1,196.19146759500808,5.91791305808215,487.1658362418857,-44.377895224322174,496.73786118156386,True,295.28926756695614,0.5944569372356021,0.0026539929190003485,True,True,True,False,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=phone_gyro|gyro=journey_prefix,learned_initial_offset,phone_gyro,journey_prefix,196.32179349894125,4.677056786789734,487.1658362418857,-44.377895224322174,496.73786118156386,True,294.9519376370872,0.5937778468013305,0.00713274829488289,True,True,True,False,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=reference_oracle|gyro=frozen_s1,learned_initial_offset,reference_oracle,frozen_s1,196.21377937021055,-13.050235447477021,487.1658362418857,-44.377895224322174,496.73786118156386,True,292.6337671304394,0.5891110583646012,,True,True,True,False,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=reference_oracle|gyro=journey_prefix,learned_initial_offset,reference_oracle,journey_prefix,196.21377937021055,-13.050235447477021,487.1658362418857,-44.377895224322174,496.73786118156386,True,292.6337671304394,0.5891110583646012,,True,True,True,False,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=reference_oracle|heading=phone_gyro|gyro=frozen_s1,reference_oracle,phone_gyro,frozen_s1,489.17386933953554,-1.0402426100522142,487.1658362418857,-44.377895224322174,496.73786118156386,True,43.38414838436265,0.08733811487847351,0.0026539929190003485,True,True,False,True,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=reference_oracle|heading=phone_gyro|gyro=journey_prefix,reference_oracle,phone_gyro,journey_prefix,489.33590644845106,-4.305243188534249,487.1658362418857,-44.377895224322174,496.73786118156386,True,40.131367356255886,0.0807898299936259,0.00713274829488289,True,True,False,True,False,True
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=reference_oracle|heading=reference_oracle|gyro=frozen_s1,reference_oracle,reference_oracle,frozen_s1,488.1672902065279,-45.6022816500404,487.1658362418857,-44.377895224322174,496.73786118156386,True,1.5817813258414355,0.0031843381579147938,,True,True,False,True,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",speed=reference_oracle|heading=reference_oracle|gyro=journey_prefix,reference_oracle,reference_oracle,journey_prefix,488.1672902065279,-45.6022816500404,487.1658362418857,-44.377895224322174,496.73786118156386,True,1.5817813258414355,0.0031843381579147938,,True,True,False,True,True,False
S1:raw-22200-22800,S1,22200,22800,1567935889.0,1567935949.0,60.0,True,,0,"[22197,22797]","[21000,22200]","[20997,22197]","[0,51746]","[0,51746]",constant_reference_initialized,,,,137.9323201844777,-35.32263664617683,487.1658362418857,-44.377895224322174,496.73786118156386,True,349.3508930083576,0.7032902468464459,,True,True,True,False,False,False
